name,team,gradClass,position,height,weight,highSchool,homeTown_city,homeTown_state
Sean Towey,SUNY Stony Brook University,Gr,Defender,5'10,160,North Babylon,North Babylon, N.Y.
Nicholas  Wilson,SUNY Stony Brook University,Jr,Defender,6'2,190,Newfield,Selden, N.Y.
Kyle  Smith,SUNY Stony Brook University,So,Midfielder,5'9,160,Sachem East,Holbrook, N.Y.
Maxx Peters,SUNY Stony Brook University,So,Defender,5'7,140,Valley Stream North,Valley Stream, N.Y.
Lorenzo  Selini,SUNY Stony Brook University,Sr,Midfielder,5'7,150,Newfield,Selden, N.Y.
Bas Beckhoven,SUNY Stony Brook University,Gr,Midfielder,5'8,150,Rodenborch,Chaam, Netherlands
Olsen Aluc,SUNY Stony Brook University,Gr,Forward,6'1,160,Connetquot,Bohemia, N.Y.
Caleb  Danquah,SUNY Stony Brook University,Jr,Forward,5'6,165,Uncommon Prep Charter,Brooklyn, N.Y.
Jonas Bickus,SUNY Stony Brook University,Sr,Forward,6'1,165,Vytautas Didysis Gymnasium,Klaipeda, Lithuania
Justin Jean-Louis,SUNY Stony Brook University,So,Midfielder,6'0,165,Baldwin,Baldwin, N.Y.
Gabriel  Ferreira,SUNY Stony Brook University,So,Forward,5'10,160,,Bohemia, N.Y.
Bruno Penney,SUNY Stony Brook University,Jr,Midfielder,5'10,160,Hutt International Boys School,Days Bay, New Zealand
Abayomi George,SUNY Stony Brook University,Fr,Midfielder,6'1,170,Presentation College,San Fernando, Trinidad
Trevor Harrison,SUNY Stony Brook University,Gr,Midfielder,5'11,160,Smithtown West,Smithtown, N.Y.
Finlay  Oliver,SUNY Stony Brook University,So,Forward,6'5,180,Oneonta,Oneonta, N.Y.
Moses Bakabulindi,SUNY Stony Brook University,Sr,Midfielder,5'4,145,Our Savior New American School,Centereach, N.Y.
Alex  Fleury,SUNY Stony Brook University,So,Midfielder,6'0,170,Collège Sainte-Anne,Lachine, Québec
Ryota Kono,SUNY Stony Brook University,Jr,Midfielder,5'4,140,,Kawasaki, Japan
Benjamin  Bern,SUNY Stony Brook University,So,Defender,6'1,180,Christian Brothers Academy,Clifton Park, N.Y.
Sean Lee,SUNY Stony Brook University,So,Midfielder,5'10,155,Plainview-Old Bethpage JFK,Seoul, South Korea
Aidan  Kolbe,SUNY Stony Brook University,So,Forward,6'2,185,Northport,East Northport, N.Y.
Tomas  Bjornsson,SUNY Stony Brook University,Sr,Defender,6'2,190,Baruch College Campus High School,Patchogue, N.Y.
Trevor Carr,SUNY Stony Brook University,Fr,Goalkeeper,6'1,170,Connetquot,Ronkonkoma, N.Y.
Mason Bardales,SUNY Stony Brook University,Fr,Goalkeeper,6'0,175,Bayside,Whitestone, N.Y.
Daniel Shannon,SUNY University at Albany,Sr,Goalkeeper,6'2,205,,New York, N.Y.
Kodai Tsuzuki,SUNY University at Albany,Jr,Goalkeeper,6'4,185,,Takahama, Japan
Max Kwitchoff,SUNY University at Albany,Gr,Midfield,5'11,185,,Tonawanda, N.Y.
Ethan Cook,SUNY University at Albany,So,Defense,6'3,185,,Ballston Spa, N.Y.
Lucas Watt,SUNY University at Albany,Sr,Defense,5'9,175,,Saint-Colomban, Québec
Santiago Frias,SUNY University at Albany,Sr,Defense,6'5,205,,Markdale, Ontario
Elias Ehlin,SUNY University at Albany,Gr,Midfield,6'0,165,,Kalmar, Sweden
Ivar Orri Gissurarson,SUNY University at Albany,So,Midfield,6'5,190,,Kópavogur, Reykjavik
Caleb Vallance,SUNY University at Albany,Jr,Midfield,5'11,165,,Powell River, British Columbia
Ander Castillo,SUNY University at Albany,Sr,Forward,6'0,185,,Bilbao, Spain
Mamadi Jiana,SUNY University at Albany,Sr,Forward,6'0,170,,Westfield, Mass.
Saad Faiz,SUNY University at Albany,Sr,Forward,5'9,155,,Casablanca, Morocco
Chris Lee,SUNY University at Albany,Sr,Midfield,6'0,190,,Toronto, Ontario
Marcos Villanueva,SUNY University at Albany,Fr,Midfield,6'1,180,,San Juan, Puerto Rico
Jordan Shullenberger,SUNY University at Albany,Fr,Midfield,6'1,170,,Waterbury, Vt.
Ben Kaplan,SUNY University at Albany,Sr,Defense,5'10,185,,Richmond Hill, Ontario
Nassim Nouajaa,SUNY University at Albany,So,Defense,6'2,175,,Quebec, Canada
Edis Alic,SUNY University at Albany,So,Defense,6'2,170,,Vaxjo, Sweden
Mohamed Soumah,SUNY University at Albany,Sr,Forward,6'3,210,,New Paltz, N.Y.
Timo Jansen,SUNY University at Albany,Jr,Midfield,5'8,145,,Amsterdam, Netherlands
Brennan McDermott,SUNY University at Albany,Fr,Midfield,6'1,170,,Rochester, N.Y.
Pedro Lucas,SUNY University at Albany,So,Forward,5'11,175,,Sao Paulo, Brazil
Christos Efstathiou,SUNY University at Albany,So,Defense,6'1,185,,Limassol, Cyprus
Breckin Fett,SUNY University at Albany,Fr,Midfield,5'11,185,,Anchorage, Alaska
Riley Liston,SUNY University at Albany,Jr,Defense,6'2,205,,Salt Lake City, Utah
Zach Lind,SUNY University at Albany,So,Forward,6'0,170,,Niskayuna, N.Y.
Lovro Horvat,SUNY University at Albany,Sr,Defense,6'2,190,,Bjelovar, Croatia
Luca Grilla,SUNY University at Albany,Fr,Defense,5'10,155,,Orlando, Fla.
Kenan Kanic,SUNY University at Albany,Jr,Midfield,5'7,160,,Glenmont, N.Y.
Parker Kump,SUNY University at Albany,Sr,Goalkeeper,6'0,185,,Fairport, N.Y.
Juan Martinez-Bastidas,Syracuse University,Fr,GK,,,,Greenville,S.C.
Chimere Omeze,Syracuse University,Fr,D,6'1,173,Toronto FC Academy,Brampton,Ontario
Ernest Mensah Jr.,Syracuse University,Sr,D,,,Xavier,Naperville,Ill
Tim Brdaric,Syracuse University,Fr,D,,,Lunex,Dusseldorf,Germany
Dominic Bell,Syracuse University,Fr,D,6'5,194,Orlando City Academy,Orlando,Fla.
Nathan Scott,Syracuse University,So,M,5'9,160,UC Riverside,San Jose,Calif.
Carlos Zambrano,Syracuse University,Jr,M,5'10,156,Daytona State,Miami,Fla.
Bryson Rodriguez,Syracuse University,Fr,M,,,Universidad San Marcos,Liberia,Costa Rica
Gavin Wigg,Syracuse University,Sr,D,6'3,168,Western Michigan,Columbus,Ohio
Alex Wharton,Syracuse University,Fr,F,5'10,164,Southern Soccer Academy,Smyrna,Ga.
Michael Acquah,Syracuse University,Jr,F,6'0,177,Lindsey Wilson,Awutu Bereku,Ghana
Tim Noeding,Syracuse University,Gr,M,,,Bethel,Bad Hersfeld,Germany
Kelvin Da Costa,Syracuse University,Fr,M,5'10,158,NYCFC Academy,Maputo,Mozambique
Sachiel Ming,Syracuse University,Fr,M/F,5'7,154,Northwood School,Southampton,Bermuda
Tomas Hut,Syracuse University,Sr,GK,6'3,215,Army,Nutley,N.J.
Kristjan Fortier,Syracuse University,Fr,M,6'2,166,Toronto FC Academy,Toronto,Ontario
Garrett Holman,Syracuse University,Fr,D,6'3,160,New England Revolution Academy,Hamburg,N.J.
Jack Grossman,Syracuse University,Fr,M,5'8,174,Minnesota United FC Academy,Walnut Creek,Calif.
Quinn Olcott,Syracuse University,Fr,M,6'5,175,RNYFC Academy,Fayetteville,N.Y.
Santiago Frias,Syracuse University,Sr,D,,,UAlbany,Oakville,Ontario
Kyle Jansen,Syracuse University,Fr,GK,6'2,200,Atlanta United Academy,Marietta,Ga.
Erick Hernandez,Temple University,Jr,D,5'9,,Santa Barbara SC,Santa Barbara,Calif.
Nikolai Zapolskikh,Temple University,Jr,D,6'0,,Orlando City,San Juan,Puerto Rico
Jayden Jackson,Temple University,Jr,M,5'11,,Matchfit Academy,Edison,N.J.
Edgar Bazan,Temple University,So,M,5'8,157,Sporting KC II,Overland Park,Kan.
Lukas Egarter,Temple University,Jr,M,5'9,,Wolfsberger AC,Feffernitz,Austria
Juan Zepeda,Temple University,Jr,F,6'3,,Atlas FC,Jalisco,Mexico
Teo Strand,Temple University,So,M,5'11,168,Jørpeland Idrettslag,Tau,Norway
Rocco Haeufgloeckner,Temple University,Sr,M/D,5'9,154,FSV Mainz 05,Kirchzell,Germany
Anthony Perez,Temple University,So,M,5'8,160,PDA,Monroe Twp,N.J.
Elliot Rigbert,Temple University,So,F,5'11,,IFK Stocksund,Vaxholm,Sweden
Alex Champagne,Temple University,Jr,M,5'10,,Supreme FC,Pembroke Pines,Fla.
Chase Jackson,Temple University,So,M/F,5'11,165,Millbrook School (N.Y.),Phoenix,Ariz.
Charlie Votel,Temple University,So,F,6'0,168,Ballistic United SC,San Leandro,Calif.
Nathan Brown,Temple University,So,F,5'9,156,FC Delco,Collegeville,Pa
Cohen Williams,Temple University,So,M,5'8,150,Seacoast United,Goffstown,N.H.
Paolo Kampula,Temple University,Sr,D,6'0,160,Philadelphia Union Academy/FC Delco,Philadelphia,Pa.
George Medill,Temple University,Sr,M,5'10,150,Sporting KC,Overland Park,Kan.
Alex O'Leary,Temple University,Gr,D,6'1,170,Penn Fusion,West Chester,Pa.
Diego Dauzier,Temple University,So,GK,6'2,185,Cedar Stars Monmouth,Montclair,N.J.
Harrison Dandridge,Temple University,Jr,M,6'0,,VBR Star,Roanoke,Va.
Michael Siravo,Temple University,So,D,6'3,180,Real Jersey FC,Jenkintown,Pa.
Brody Smith,United States Air Force Academy,So,GK,6'5,210,Castle View,Cary,NC
Kyle Skevington,United States Air Force Academy,So,D,,,Sage Creek,Carlsbad,CA
Attila Toth,United States Air Force Academy,So,F,5'11,150,Brophy College Prep,Phoenix,AZ
Ryan Daunt,United States Air Force Academy,Sr,M,5'9,150,Maclay School,Tallahassee,FL
Ridge Owen,United States Air Force Academy,Sr,F,5'11,157,East Lake,Chula Vista,CA
Noah Higbie,United States Air Force Academy,Jr,D,6'5,195,Rockhurst,Lenexa,KS
Sean Flynn,United States Air Force Academy,Jr,M,5'9,150,Perry,Gilbert,AZ
Seni Akinola,United States Air Force Academy,Jr,D,5'9,173,St. Edmund's College,Hertfordshire,GB-ENG
Aidan Grubbs,United States Air Force Academy,Jr,M,5'10,160,Saint Stephen's,Bradenton,FL
Logan Zaa,United States Air Force Academy,Jr,F,5'9,150,Kamehameha Schools Kapalama,Honolulu,HI
Josh Spence,United States Air Force Academy,Sr,GK,6'3,195,Randall K. Cooper,Burlington,KY
Menes Ajyeman,United States Air Force Academy,So,M/F,6'0,170,Clark County,Berryville,VA
Oliver Becker,United States Air Force Academy,So,M,6'0,175,Verona Area,Madison,WI
Myles Farkas,United States Air Force Academy,So,M/F,5'7,135,Mt. Carmel,San Diego,CA
Brayden Benner,United States Air Force Academy,So,D,5'9,160,Lakota West,West Chester,OH
Andrei Bulankou,United States Air Force Academy,So,D,6'2,180,Eastlake,Seattle,Washington
Boris-Scott Njante,United States Air Force Academy,So,M/F,5'9,160,Eastmark,Mesa,AZ
Blair Camargo,United States Military Academy,So,G,6'0,175,Frisco Heritage HS,McKinney,Texas
Michael Guiry,United States Military Academy,So,G,6'5,200,Fletcher HS,Jacksonville,Fla.
Kasem Minzey,United States Military Academy,So,D,5'9,150,Cathedral HS,Granger,Ind.
Owen Ennis,United States Military Academy,Jr,D,5'10,160,North Kingstown HS,North Kingstown,R.I.
Eric Lusskin,United States Military Academy,Sr,M,6'1,176,West Morris Central HS,Long Valley,N.J.
Kelly Cooper,United States Military Academy,Jr,D,6'5,205,Riverwood Charter School,Atlanta,Ga.
Colin McCarthy,United States Military Academy,Jr,M,5'8,155,Severn School (USMAPS),Crofton,Md.
Riley Cullum,United States Military Academy,Jr,M,5'7,160,Nature Coast Technical (USMAPS),Brooksville,Fla.
Reef McGee,United States Military Academy,Jr,M,5'11,150,Fletcher HS,Jacksonville,Fla.
Jack Drabenstott,United States Military Academy,Sr,F,6'0,175,Centerville HS,Centerville,Ohio
Jubril Bamgbala,United States Military Academy,Jr,F,6'1,175,La Salle Academy,North Providence,R.I.
Skyler Smith,United States Military Academy,Sr,D,5'9,170,El Toro HS,Lake Forest,Calif.
Owen Mejia,United States Military Academy,Jr,D,6'2,175,Noblesville HS,Noblesville,Ind.
Jacob Lee,United States Military Academy,Sr,F,5'9,150,Fort Lee HS,Fort Lee,N.J.
Niko Kapustin,United States Military Academy,Sr,D,6'2,172,Dublin Coffman HS,Columbus,Ohio
Justin Davidyock,United States Military Academy,So,M,6'2,185,The Pennington School,Newtown,Pa.
Jack Meyer,United States Military Academy,Sr,M,5'10,165,Southlake Carroll HS,Southlake,Texas
Kai Thomas,United States Military Academy,So,M,5'10,165,Miramonte HS,Orinda,Calif.
Ronald Zhai,United States Military Academy,So,M,6'0,158,Monte Vista HS,San Ramon,Calif.
Miles Hadley,United States Military Academy,So,D,6'0,170,Midtown HS,Atlanta,Ga.
Jack Kryger,United States Military Academy,So,F,6'2,187,Tappan Zee HS,Stony Point,N.Y.
Curtis Boozer,United States Military Academy,So,D,6'1,180,Crossroads School (USMAPS),Los Angeles,Calif.
Daniel Gormley,United States Military Academy,Jr,D,6'2,180,South Fayette HS,McDonald,Pa.
Liam Tucker,United States Military Academy,So,D,5'9,155,Shattuck-St.Mary’s School (MN),Cleveland,Ohio
Sean Adu-Gyamfi,United States Military Academy,Sr,M,6'2,170,James River HS,Richmond,Va.
Andrew Kim,United States Military Academy,So,D,6'0,170,Norfolk Academy,Norfolk,Va.
Keanu Likewise,United States Military Academy,Jr,G,5'10,185,Discovery Canyon Campus HS,Colorado Springs,Colo.
Dylan Carmody,United States Naval Academy,Jr,Goalkeeper,6'4,207,Mount Saint Joseph,Elkridge, Md.
Robert Eaton,United States Naval Academy,Sr,Goalkeeper,6'3,200,Science Hill,Johnson City, Tenn.
Keane Brown,United States Naval Academy,So,Defender,5'10,160,Pennington School,New Hope, Pa.
Andrew Schug,United States Naval Academy,Sr,Forward,5'10,170,Huntingtown,Huntingtown, Md.
Kenny Namango,United States Naval Academy,So,Defender,5'9,165,Sprayberry,Marietta, Ga.
Jalen Grant,United States Naval Academy,Sr,Defender,6'5,200,Heritage,Wake Forest, N.C.
Jorge Mayorga,United States Naval Academy,So,Midfielder,5'9,145,Jackson Liberty,Jackson, N.J.
Wyatt Stevens,United States Naval Academy,So,Forward,5'11,160,Kamiak,Mukilteo, Wash.
Stephen Nelson,United States Naval Academy,So,Midfielder,6'1,170,South Side,Rockville Centre, N.Y.
Ben Leisegang,United States Naval Academy,Jr,Midfielder,5'8,145,Santa Margarita Catholic,Trabuco Canyon, Calif.
Duncan Sullivan,United States Naval Academy,So,Midfielder,5'9,155,Plano East Senior,Murphy, Texas
Nate Stewart,United States Naval Academy,Jr,Midfielder,6'0,160,Phoenixville,Phoenixville, Pa.
Tommy Lockhart,United States Naval Academy,Sr,Midfielder,6'0,192,D'Evelyn,Denver, Colo.
Alex Galloway,United States Naval Academy,Jr,Defender,6'0,170,Bishop Moore Catholic,Longwood, Fla.
JP Torres,United States Naval Academy,So,Defender,5'8,150,Plano Senior,Dallas, Texas
Liam Plum,United States Naval Academy,So,Forward,6'2,170,McCallum,Austin, Texas
A.J. Schuetz,United States Naval Academy,Sr,Forward,5'10,160,Patriot,Bristow, Va.
Will Boyd,United States Naval Academy,So,Defender,6'0,165,Flintridge Prep,La Cañada, Calif.
Nate Van Zoeren,United States Naval Academy,Sr,Goalkeeper,6'3,190,Bethesda-Chevy Chase,Washington, D.C.
Bryce Robisch,United States Naval Academy,Sr,Defender,6'6,200,Obra D. Tompkins,Katy, Texas
Ryan Skandalis,United States Naval Academy,Jr,Midfielder,5'9,170,John Carroll,Bel Air, Md.
Luc Ramalho,United States Naval Academy,Jr,Midfielder,5'8,150,Alan C. Pope,Marietta, Ga.
Tom Mabon,University of Alabama – Birmingham,So,GK,,,CNED,Saint Nazaire,France
Ole Jessen,University of Alabama – Birmingham,So,D,,,Marselisborg Gymnasium,Aarhus,Denmark
Neal Carlson,University of Alabama – Birmingham,Gr,D,5'10,187,Boston,Birmingham,Ala.
Frederik Danslet,University of Alabama – Birmingham,Fr,D,6'3,189,Aarhus Business College,Aarhus,Denmark
Mathis Richter,University of Alabama – Birmingham,So,D,,,Gymnasium Damme,Bremen,Germany
Gustavo Barbosa,University of Alabama – Birmingham,Sr,D,,,Montverde Academy,Salvador,Brazil
Tony Kim,University of Alabama – Birmingham,Jr,F,,,Point,Busan,South Korea
Ivan Jolivet,University of Alabama – Birmingham,Gr,M,,,University of Mobile,Paris,France
Olafur Vidar Sigurdsson,University of Alabama – Birmingham,Fr,F,6'3,,Verzlunarskóli Íslands,Gardabaer,Iceland
Giulherme Vivaldini,University of Alabama – Birmingham,Gr,F,6'2,170,Xavier,Itupeva,Brazil
Humphrey Doh,University of Alabama – Birmingham,Jr,F,,,University of Ghana,Madina,Ghana
Jake Kellerhals,University of Alabama – Birmingham,So,D,,,Baylor School,Rossville,Ga.
Garrett Olson,University of Alabama – Birmingham,Gr,GK,,,Leesville Road,Raleigh,N.C.
Alan Melendez,University of Alabama – Birmingham,Sr,M,,,Spain Park,Birmingham,Ala.
Carson Brice,University of Alabama – Birmingham,So,D,,,Andrew Jackson,Lancaster,S.C.
Mathias Love Groth,University of Alabama – Birmingham,Sr,M,,,Sandvika Videregaaende,Asker,Norway
Lucas Rizzo,University of Alabama – Birmingham,Jr,F,,,Montgomery Academy,Montgomery,Ala.
Gael Zackrisson,University of Alabama – Birmingham,Jr,M,6'3,185,Gardner-Webb,Stockholm,Sweden
Patrik Fagan,University of Alabama – Birmingham,So,F,,,Weiss,Austin,Texas
Camren Thompson,University of Alabama – Birmingham,Fr,F,6'4,180,Southside,Southside,Ala.
Matthew Garcia,University of Alabama – Birmingham,Fr,M,5'11,155,Homeschool,Chiavari,Italy
Kaleb Jowers,University of Alabama – Birmingham,Sr,D,,,Spain Park,Hoover,Ala.
Joshwa Campbell,University of Alabama – Birmingham,So,F,,,Darlington School,George Town,Cayman Islands
Jake Jiwon Han,University of Alabama – Birmingham,Jr,D,,,Springwood School,Daejeon,South Korea
David Zenzen,University of Alabama – Birmingham,Fr,M,6'0,165,Tibble Fristående Gymnasium,Stockholm,Sweden
Noah Wanzer,University of Alabama – Birmingham,Fr,D,6'0,165,Centennial,Frisco,Tx.
Lucas Nordin,University of Alabama – Birmingham,Jr,F,,,East Tennessee State,Knoxville,Tenn.
Francisco Ranieri,University of Alabama – Birmingham,Jr,GK,,,Florida Atlantic,Buenos Aires,Argentina
Aidan Ahmad,University of California – Berkeley,Fr,Goalkeeper,6'2,,,,
Alex Robb,University of California – Berkeley,Fr,Goalkeeper,6'5,,,,
Ryan Savoie,University of California – Berkeley,Fr,Goalkeeper,6'1,,,,
Marco Brougher,University of California – Berkeley,Jr,Goalkeeper,6'4,,,,
Kevin Carmichael,University of California – Berkeley,Sr,Defender,6'2,,,,
Giancarlo Mota,University of California – Berkeley,So,Midfielder,5'5,,,,
Kai Djerbaka,University of California – Berkeley,So,Midfielder,5'7,,,,
Gaku Nishimura,University of California – Berkeley,Jr,Midfielder,5'8,,,,
Jack Bowers,University of California – Berkeley,So,Midfielder,5'11,,,,
Justin Knighton,University of California – Berkeley,So,Midfielder,5'8,,,,
Allan Juarez,University of California – Berkeley,Jr,Midfielder,5'7,,,,
Rohan McEligot,University of California – Berkeley,Jr,Midfielder,5'8,,,,
Nonso Adimabua,University of California – Berkeley,5th,Forward,6'4,,,,
Kieran Bracken Serra,University of California – Berkeley,Fr,Midfielder,5'9,,,,
Arik Duncan,University of California – Berkeley,Sr,Forward,6'4,,,,
Wisdom Onuoma,University of California – Berkeley,So,Midfielder,6'0,,,,
Griffin Gustafson,University of California – Berkeley,Fr,Defender,5'10,,,,
Adrian Guzman,University of California – Berkeley,Sr,Midfielder/Forward,5'9,,,,
Eli Wachs,University of California – Berkeley,Fr,Midfielder,5'9,,,,
Kevin Rodriguez,University of California – Berkeley,So,Midfielder,5'4,,,,
Brendan Bell,University of California – Berkeley,So,Midfielder,5'9,,,,
Alfredo Ortiz,University of California – Berkeley,Jr,Defender,5'5,,,,
Nik Laredo,University of California – Berkeley,So,Midfielder,5'10,,,,
Owen Bizzaro,University of California – Berkeley,So,Defender,5'9,,,,
Cameron Robie,University of California – Berkeley,Jr,Defender,5'11,,,,
Connor Lambe,University of California – Berkeley,R-Jr,Goalkeeper,6'3,,,,
Isaiah Thomas,University of California – Berkeley,So,Midfielder,5'8,,,,
Malcolm Zalayet,University of California – Berkeley,Fr,Forward/Midfielder,6'0,,,,
Wyatt Meyer,University of California – Berkeley,Sr,Defender/Midfielder,6'2,,,,
Santiago Hopkins,University of California – Berkeley,Sr,Defender,6'0,,,,
Joe Chalwin,University of California – Berkeley,Fr,Midfielder/Defender,6'2,,,,
Israel Cortez,University of California – Berkeley,Fr,Midfielder,5'11,,,,
Matthew McGrew,University of California – Berkeley,Fr,Midfielder,5'7,,,,
Beau Morrison,University of California – Berkeley,Fr,Defender,6'1,,,,
Arseni Metelitsa,University of California – Berkeley,Fr,Defender/Midfielder,5'8,,,,
Adrian Jacobs,University of California – Berkeley,Jr,Midfielder,6'0,,,,
Federico Barbieri,University of California – Berkeley,R-Jr,Defender,6'3,,,,
Michael Luckhurst,University of California – Berkeley,So,Forward,6'1,,,,
Noe Aubanel,University of California – Berkeley,So,Midfielder/Defender,6'0,,,,
Zack Andoh,University of California – Berkeley,So,Goalkeeper,6'4,,,,
Thomas Grimes,University of California – Berkeley,Jr,Goalkeeper,6'4,,,,
Mekhai Wilson,University of California – Davis,R-So,Goalkeeper,6'4,186,Bonita HS '23,Fontana, Calif.
Noah Schwengeler,University of California – Davis,Sr,Goalkeeper,6'5,195,,Geneva, Switzerland
Gavin Leypon,University of California – Davis,R-So,Forward,5'7,155,Liberty HS '23,Discovery Bay, Calif.
Ensio Sardans,University of California – Davis,So,Defender/Midfielder,6'3,170,Redwood HS '24,Corte Madera, Calif.
Ian Ngonethong,University of California – Davis,Jr,Midfielder,5'9,160,Henry J. Kaiser HS '22,Honolulu, Hawai'i
Gabriel Haggerty,University of California – Davis,R-So,Defender/Midfielder,5'11,165,Archbishop Mitty HS '23,Los Gatos, Calif.
Declan Horio,University of California – Davis,Jr,Midfielder,5'9,150,Punahou School '23,Honolulu, Hawai'i
Andrew Dutra,University of California – Davis,Sr,Defender/Midfielder,5'8,155,Sierra Pacific HS '22,Hanford, Calif.
Colton Franklin,University of California – Davis,R-Jr,Midfielder,5'11,160,Yosemite HS '22,North Fork, Calif.
Marcus Garcia,University of California – Davis,R-Sr,Forward,6'1,165,Saint Pius X HS '21,Albuquerque, N.M.
Carson Hammond,University of California – Davis,R-So,Defender,6'0,180,Valencia HS '23,Placentia, Calif.
Luke Goodman,University of California – Davis,Sr,Defender,6'3,180,Santa Barbara HS '22,Santa Barbara, Calif.
Cason Goodman,University of California – Davis,Sr,Forward,6'3,175,Santa Barbara HS '22,Santa Barbara, Calif.
Cole Powell,University of California – Davis,R-So,Defender,6'2,175,Rick Reedy HS '23,Frisco, Tex.
Chase Tanon,University of California – Davis,Sr,Forward,5'8,160,Elk Grove Charter HS '22,Lincoln, Calif.
Rafael Matiello,University of California – Davis,So,Midfielder,6'0,177,NSU University School '23,São Paulo, Brazil
Gavin House,University of California – Davis,R-Sr,Defender,6'3,190,Redwood HS '22,Visalia, Calif.
Milan Uncanin,University of California – Davis,R-Sr,Defender,6'5,195,Mid Pacific HS '21,Honolulu, Hawai'i
Zack Lillington,University of California – Davis,Sr,Defender,6'4,191,Archie Williams HS '22,Fairfax, Calif.
Takeru Horike,University of California – Davis,Sr,Defender/Midfielder,6'0,150,South Torrance HS '22,Torrance, Calif.
Jason Hsu,University of California – Davis,R-Sr,Midfielder,6'2,175,Terra Linda HS '21,San Rafael, Calif.
Talin Morgan,University of California – Davis,So,Goalkeeper,6'5,190,Servite HS '24,Huntington Beach, Calif.
Zachary Neuls,University of California – Davis,So,Midfielder,6'3,170,Mountainside HS '24,Portland, Ore.
Diego Orosco,University of California – Davis,Fr,Midfielder,,,,,
Tristan Wouters,University of California – Davis,So,Midfielder,,,Mission College Prep HS '23,Templeton, Calif.
Alex Shields,University of California – Irvine,R-So,Goalkeeper,6'3,185,Steele Canyon HS,El Cajon, Calif.
Luke Pruter,University of California – Irvine,R-Sr,Goalkeeper,6'5,210,Palos Verdes HS,Redondo Beach, Calif.
Travis Babineau,University of California – Irvine,Jr,Defender,5'8,155,Connections Academy,Santa Barbara, Calif.
Josh Kenworthy,University of California – Irvine,Sr,Defender,6'2,200,Del Norte HS,San Diego, Calif.
Nolan DiCenzo,University of California – Irvine,Jr,Defender,6'1,188,Crespi HS,Sherman Oaks, Calif.
Mathias Winum,University of California – Irvine,Sr,Defender,6'3,185,Melhus Videregaende,Trondheim, Norway
Samuel Atiye,University of California – Irvine,Gr,Midfielder,5'11,165,Lessing Gymnasium,Dusseldorf, Germany
Roman Warren,University of California – Irvine,Sr,Midfielder,5'9,165,IMG Academy,Sacramento, Calif.
Isaiahs Gutierrez,University of California – Irvine,Fr,Midfielder,5'7,149,Pacific View Charter HS,San Diego, Calif.
Agaton Pourshahidi,University of California – Irvine,Jr,Forward,6'1,165,Sjolins Gymnasium Sodermalm,Stockholm, Sweden
Mario Anaya,University of California – Irvine,Gr,Midfielder,5'10,160,Livermore HS,Livermore, Calif.
Francesco Montanile,University of California – Irvine,Gr,Midfielder,5'10,165,Brophy College Prep,Phoenix, Ariz.
Misael Gonzalez,University of California – Irvine,Jr,Forward,5'10,170,Fullerton Union HS,Fullerton, Calif.
Noah Clarkson,University of California – Irvine,Sr,Midfielder,5'9,165,Scotts Valley HS,Santa Cruz, Calif.
Danny de Lorijn,University of California – Irvine,Gr,Forward,6'0,,,Westervoort, Netherlands
Justin Conyers,University of California – Irvine,R-So,Midfielder,6'0,150,Moorpark HS,Moorpark, Calif.
Cade Williams,University of California – Irvine,Fr,Midfielder,6'0,145,Hamilton HS,Chandler, Ariz.
Braden Ferreira,University of California – Irvine,R-Fr,Midfielder,6'1,160,Internet Academy,Sammamish, Wash.
Isaac Powell,University of California – Irvine,R-So,Midfielder,5'9,165,Motivated Youth Academy,San Diego, Calif.
Brady Treinen,University of California – Irvine,So,Defender,6'0,155,Tustin Connect HS,Tustin, Calif.
Isaiah Quarcoo,University of California – Irvine,R-Jr,Forward,6'0,155,DSST Byers HS,Denver, Colo.
Shane Kaemerle,University of California – Irvine,Fr,Midfielder,5'8,150,,Dana Point, Calif.
Darwin Lopez,University of California – Irvine,Fr,Defender,5'11,160,Antelope Valley Learning Academy,Palmdale, Calif.
Abraham Brown,University of California – Irvine,R-So,Defender,6'0,175,Cathedral HS,Compton, Calif.
Isaac Nixon,University of California – Irvine,R-Fr,Forward,6'2,165,Capistrano Valley Christian HS,San Clemente, Calif.
Elijah Jugé,University of California – Irvine,R-Fr,Defender,6'1,185,Troy HS,Fullerton, Calif.
Marcus Lee,University of California – Irvine,Fr,Forward,5'6,130,Cabrillo Point Academy,Foothill Ranch, Calif.
Paul Jing,University of California – Irvine,Sr,Goalkeeper,6'1,167,Temple City HS,Beijing, China
Sam Joseph,University of California – Los Angeles – UCLA,Jr.,GK,6' 4'',215, Saint Augustine High School,San Diego, Calif. 
Tre Wright,University of California – Los Angeles – UCLA,So.,D,6' 2'',180, Lake Travis HS,Austin, Tex. 
Youri Senden,University of California – Los Angeles – UCLA,Gr.,D,6' 2'',178, Sintermeerten College,Voerendaal, Netherlands 
Pietro Grassi,University of California – Los Angeles – UCLA,Sr.,D,6' 1'',180, Pontificio Collegio Gallio,Milan, Italy 
JC Cortez,University of California – Los Angeles – UCLA,Jr.,D,6' 0'',175, Ridgewood HS,Ridgewood, N.J. 
Tarun Karumanchi,University of California – Los Angeles – UCLA,Jr.,MF,5' 11'',150, Dougherty Valley HS,San Ramon, Calif. 
Edrey Caceres,University of California – Los Angeles – UCLA,Gr.,MF,5' 6'',150, Senior MacArthurt High School,Houston, Texas 
